ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
"Applications Received - Gender wise","RPO Bareilly",FEMALE,1099,4068,33311,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Bareilly",MALE,2837,10562,92959,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Bareilly",TRANSGENDER,0,1,6,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Bareilly","Count of Applications",3936,14631,126276,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bareilly","10TH PASS AND ABOVE",923,3352,32204,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bareilly","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bareilly","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bareilly","GRADUATE AND ABOVE",610,2146,20977,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bareilly",Between_18_to_35,2254,8539,77770,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bareilly",Between_36_to_60,1035,3712,30460,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bareilly",GreaterThan60,364,1475,9524,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bareilly",LessThan18,283,905,8522,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Bareilly",Challan,15600,138800,1867200,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Bareilly","Credit/ Debit Card",1783600,9101300,82042250,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Bareilly",Online,1730000,8614250,84169300,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Bareilly",FRESH,3268,11825,98905,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Bareilly",PCC,93,734,7421,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Bareilly",REISSUE,574,2071,19940,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Bareilly","No Verification",175,981,10305,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Bareilly","Post Verification",227,781,7547,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Bareilly","Pre Verification",2700,11162,85928,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Bareilly","More than 21 Days",137,636,6140,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Bareilly","Within 21 Days",2038,11364,97488,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Bhopal",Normal,3999,18394,181265,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Bhopal",Tatkaal,109,459,6444,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Bhopal",FEMALE,1654,7548,74330,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Bhopal",MALE,2453,11303,113358,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Bhopal",TRANSGENDER,1,2,19,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Bhopal","Count of Applications",4108,18853,187707,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bhopal","10TH PASS AND ABOVE",1111,5038,53017,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bhopal","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bhopal","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bhopal","GRADUATE AND ABOVE",1543,6472,69051,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bhopal",Between_18_to_35,2032,8812,89473,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bhopal",Between_36_to_60,1225,5976,58513,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bhopal",GreaterThan60,309,1677,16703,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bhopal",LessThan18,542,2388,23018,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Bhopal",Challan,63400,275850,4817450,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Bhopal","Credit/ Debit Card",2305350,10870550,119001300,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Bhopal",Online,2430400,10466350,118309250,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Bhopal",FRESH,3111,14632,145983,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Bhopal",PCC,63,273,2876,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Bhopal",REISSUE,931,3937,38783,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Bhopal","No Verification",164,602,7715,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Bhopal","Post Verification",505,2049,19528,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Bhopal","Pre Verification",3243,14053,135317,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Bhopal","More than 21 Days",312,1699,14094,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Bhopal","Within 21 Days",3507,13456,143092,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Bhubaneswar",Normal,2092,9521,94299,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Bhubaneswar",Tatkaal,152,593,6058,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Bhubaneswar",FEMALE,570,2712,27586,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Bhubaneswar",MALE,1674,7402,72769,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Bhubaneswar",TRANSGENDER,0,0,2,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Bhubaneswar","Count of Applications",2244,10114,100357,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bhubaneswar","10TH PASS AND ABOVE",820,3532,34676,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bhubaneswar","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bhubaneswar","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Bhubaneswar","GRADUATE AND ABOVE",855,3985,39229,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bhubaneswar",Between_18_to_35,1337,5748,57475,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bhubaneswar",Between_36_to_60,629,2937,28918,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bhubaneswar",GreaterThan60,104,527,5561,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Bhubaneswar",LessThan18,174,902,8403,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Bhubaneswar",Challan,40300,128550,1780650,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Bhubaneswar","Credit/ Debit Card",1591700,7562300,72915150,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Bhubaneswar",Online,1272450,5291300,56274850,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Bhubaneswar",FRESH,1651,7804,76597,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Bhubaneswar",PCC,167,461,4952,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Bhubaneswar",REISSUE,426,1849,18787,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Bhubaneswar","No Verification",234,847,9942,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Bhubaneswar","Post Verification",296,1187,11486,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Bhubaneswar","Pre Verification",1117,5326,53037,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Bhubaneswar","More than 21 Days",482,2648,32987,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Bhubaneswar","Within 21 Days",1203,4685,42588,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Chandigarh",Normal,10580,53975,594038,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Chandigarh",Tatkaal,279,1386,19821,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Chandigarh",FEMALE,4281,21741,240137,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Chandigarh",MALE,6573,33603,373559,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Chandigarh",TRANSGENDER,0,2,29,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Chandigarh","Count of Applications",10854,55346,613725,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Chandigarh","10TH PASS AND ABOVE",4597,24836,280592,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Chandigarh","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Chandigarh","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Chandigarh","GRADUATE AND ABOVE",2768,12799,140598,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Chandigarh",Between_18_to_35,5570,28839,322599,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Chandigarh",Between_36_to_60,2843,14691,165209,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Chandigarh",GreaterThan60,717,3531,36368,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Chandigarh",LessThan18,1724,8285,89549,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Chandigarh",Challan,226050,969450,18304600,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Chandigarh","Credit/ Debit Card",8505600,36531550,451158300,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Chandigarh",Online,3648350,16970650,238233900,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Chandigarh",FRESH,6998,36371,410603,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Chandigarh",PCC,610,2835,25025,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Chandigarh",REISSUE,3243,16125,178000,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Chandigarh","No Verification",215,978,11055,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Chandigarh","Post Verification",1170,5373,80039,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Chandigarh","Pre Verification",8710,49075,477541,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Chandigarh","More than 21 Days",2277,10079,103290,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Chandigarh","Within 21 Days",8612,41495,420028,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Chennai",Normal,10355,40399,406708,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Chennai",Tatkaal,291,1104,11192,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Chennai",FEMALE,4261,16359,162490,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Chennai",MALE,6381,25135,255301,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Chennai",TRANSGENDER,1,3,23,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Chennai","Count of Applications",10643,41497,417814,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Chennai","10TH PASS AND ABOVE",2830,11222,117429,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Chennai","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Chennai","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Chennai","GRADUATE AND ABOVE",4432,17237,176264,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Chennai",Between_18_to_35,4443,18767,203874,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Chennai",Between_36_to_60,3478,12887,120555,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Chennai",GreaterThan60,553,2765,31142,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Chennai",LessThan18,2169,7078,62243,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Chennai",Challan,50000,334700,4779000,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Chennai","Credit/ Debit Card",8776700,36328750,294487450,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Chennai",Online,2429700,11416750,131722650,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Chennai",FRESH,7073,25365,244894,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Chennai",PCC,368,1808,18557,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Chennai",REISSUE,3192,14292,154043,"2019-11-03 04:29:09.831353"
